label_name	head	relation	tail	response
bassoon	bassoon	part of scene	chamber orchestra performance	Yes.
cymbal	cymbal	is a type of	metal instrument	Yes.
music genre	music genre	has subtype	funk carioca music	Yes.
white noise	white noise	belongs to class	noise	Yes.
gong	gong	part of scene	cultural heritage	Yes.
dishwasher	dishwasher	produced during	doing laundry	Yes.
horse nicker	horse nicker	has pitch	medium	Yes.
tools	tools	has subtype	planning timber	Yes.
moaning	moaning	belongs to class	human sounds	Yes.
fire alarm ringing	fire alarm ringing	occurs in	library	Yes.
human sounds	human sounds	has subtype	speech	Yes.
snorting	snorting	belongs to class	breathing	Yes.
harp	harp	localized in	concert stage	Yes.
percussion	percussion	has subtype	drum machine	Yes.
keyboard (musical)	keyboard (musical)	occurs in	music bar	Yes.
groaning	groaning	associated with environment	painful injury	Yes.
organ	organ	part of scene	solo cello	Yes.
truck	truck	has children	cleaning truck	Yes.
kettle whistle	kettle whistle	occurs in	living room	Yes.
hammering	hammering	occurs in	construction site	Yes.
child babbling	child babbling	occurs in	bus interior	Yes.
music	music	has subtype	shofar	Yes.
truck	truck	has duration	short	Yes.
eruption	eruption	precedes	volcanic eruption	Yes.
rattle	rattle	originates from	vehicle	Yes.
speech	speech	occurs in	courtroom	Yes.
laughing	laughing	described by	a sound made by someone laughing	Yes.
vehicle siren ringing	vehicle siren ringing	has sibling	emergency vehicle	Yes.
animal	animal	has subtype	domestic animal	Yes.
ding-dong	ding-dong	overlaps with	bell ringing	Yes.
kwaito music	kwaito music	has duration	short	Yes.
light engine (high frequency)	light engine (high frequency)	occurs in	forest	Yes.
cello	cello	performed by	musician	Yes.
harpsichord	harpsichord	is a type of	historical instrument	Yes.
keyboard (musical)	keyboard (musical)	has subtype	electric piano	Yes.
domestic sounds	domestic sounds	belongs to class	things	Yes.
ice cream truck	ice cream truck	occurs in	street	Yes.
jackhammer	jackhammer	occurs in	construction zone intersection	Yes.
musical instrument	musical instrument	is variant of	saxophone	Yes.
road vehicle	road vehicle	has subtype	exhaust brake	Yes.
crackle	crackle	is a type of	audio signal	Yes.
music	music	has subtype	wind chime	Yes.
harmonica	harmonica	is instance of	percussion instrument	Yes.
crowd	crowd	overlaps with	cheering	Yes.
goat	goat	associated with event	being milked	Yes.
coffee machine	coffee machine	produced during	morning routine	Yes.
vehicle passing by	vehicle passing by	occurs in	city center	Yes.
dog	dog	produced during	chasing	Yes.
screech	screech	is sound of	alarm	Yes.
audio feedback	audio feedback	occurs in	theater	Yes.
music	music	has subtype	musical note	Yes.
acoustic environment	acoustic environment	has subtype	outdoor environment	Yes.
talking	talking	belongs to class	human voice	Yes.
music genre	music genre	has children	classical music	Yes.
bell	bell	perceived as	alerting	Yes.
snowmobile	snowmobile	part of scene	winter landscape	Yes.
sound of things	sound of things	has subtype	whistle	Yes.
bicycle	bicycle	has parent	non-motorized land vehicle	Yes.
cash register beeping	cash register beeping	overlaps with	cashier handling cash	Yes.
skateboard	skateboard	transcribed as	grinding on quarterpipe	Yes.
female screaming	female screaming	perceived as	alarming	Yes.
gargling	gargling	occurs in	home	Yes.
steelpan	steelpan	perceived as	music	Yes.
speech	speech	localized in	lecture hall	Yes.
non-machinery impact	non-machinery impact	has subtype	cap gun	Yes.
studio recording	studio recording	precedes	concert performance	Yes.
percussion	percussion	has subtype	maraca	Yes.
human sounds	human sounds	produces	yawning	Yes.
mandolin	mandolin	is a type of	plucked string instrument	Yes.
shower	shower	described by	a water-based activity for personal hygiene and relaxation	Yes.
lullaby	lullaby	event composed of	soothing instrumentals	Yes.
vehicle	vehicle	has subtype	train horn	Yes.
car	car	can be heard in	parking lot	Yes.
bathtub (filling or washing)	bathtub (filling or washing)	belongs to class	domestic sounds	Yes.
engine	engine	has subtype	tractor	Yes.
cupboard open or close	cupboard open or close	generated by	human	Yes.
clickety-clack	clickety-clack	occurs in	typewriter	Yes.
sitar	sitar	localized in	music studio	Yes.
tubular bells	tubular bells	belongs to class	musical instrument	Yes.
keyboard (musical)	keyboard (musical)	has subtype	clavinet	Yes.
sound of things	sound of things	has subtype	ringtone	Yes.
vehicle	vehicle	has subtype	ice cream truck	Yes.
baby crying	baby crying	occurs in	home	Yes.
whistle	whistle	emitted by	security guard	Yes.
typewriter	typewriter	is instance of	mechanical typewriter	Yes.
bassline	bassline	is a type of	rock music	Yes.
swimming	swimming	warns about	water contamination	Yes.
liquid	liquid	has subtype	trickle dribble	Yes.
insect	insect	can be heard in	meadow	Yes.
washboard	washboard	belongs to class	percussion instrument	Yes.
clunk	clunk	generated by	hammer	Yes.
dog	dog	has children	dog whimpering	Yes.
snare drum	snare drum	perceived as	beat	Yes.
extending ladders	extending ladders	belongs to class	things	Yes.
car alarm ringing	car alarm ringing	has sibling	alarm signal	Yes.
large vehicle	large vehicle	has subtype	bus engine	Yes.
dog whimpering	dog whimpering	is instance of	bark	Yes.
music genre	music genre	overlaps with	music festival	Yes.
christmas music	christmas music	originates from	holiday season	Yes.
harmonic	harmonic	can be heard in	concert hall	Yes.
clarinet	clarinet	belongs to class	musical instrument	Yes.
elephant trumpeting	elephant trumpeting	belongs to class	animal	Yes.
chimpanzee	chimpanzee	part of scene	wildlife	Yes.
vehicle passing by	vehicle passing by	has subtype	motorcycle wheel rolling	Yes.
mouse squeaking	mouse squeaking	can be heard in	mouse hole	Yes.
bagpipes	bagpipes	scene contains	musical instrument	Yes.
drawer open or close	drawer open or close	belongs to class	domestic sounds	Yes.
classical music	classical music	has children	opera	Yes.
clip-clop	clip-clop	described by	a metallic sound made by a machine	Yes.
turkey gobble	turkey gobble	produces	gobbling	Yes.
reverse beeper	reverse beeper	belongs to class	large vehicle	Yes.
vocal music	vocal music	has sibling	music genre	Yes.
radio	radio	belongs to class	channel environment and background	Yes.
drawer open or close	drawer open or close	occurs in	home	Yes.
explosion	explosion	part of scene	battlefield	Yes.
yodeling	yodeling	has subtype	vocalization	Yes.
humming	humming	belongs to class	human non-speech sounds	Yes.
walking	walking	belongs to class	human movement	Yes.
non-machinery impact	non-machinery impact	has subtype	golf driving	Yes.
snake hissing	snake hissing	belongs to class	snake	Yes.
road vehicle	road vehicle	affects	traffic congestion	Yes.
door knock	door knock	produced during	ringing	Yes.
sweeping	sweeping	belongs to class	miscellaneous sources	Yes.
door	door	localized in	house	Yes.
washing machine	washing machine	has parent	domestic sounds	Yes.
human voice	human voice	can be heard in	conference room	Yes.
tick-tock	tick-tock	associated with environment	wristwatch	Yes.
child babbling	child babbling	occurs in	open-air market	Yes.
trumpet	trumpet	warns about	warning signal	Yes.
acoustic environment	acoustic environment	has subtype	inside public space	Yes.
djembe	djembe	part of scene	african culture	Yes.
francolin calling	francolin calling	belongs to class	wild animal	Yes.
snake hissing	snake hissing	belongs to class	animal	Yes.
bicycle	bicycle	occurs in	public square	Yes.
silence	silence	occurs in	home	Yes.
crow caw	crow caw	has subtype	caw	Yes.
female singing	female singing	localized in	wedding ceremony	Yes.
drone	drone	originates from	aircraft	Yes.
human activities	human activities	has subtype	striking bowling	Yes.
video game/tv	video game/tv	has subtype	video game	Yes.
saxophone	saxophone	precedes	brass instrument	Yes.
vehicle siren ringing	vehicle siren ringing	belongs to class	road vehicle	Yes.
sound of things	sound of things	has children	tools	Yes.
baby babbling	baby babbling	occurs in	car interior	Yes.
sonar	sonar	associated with event	boat in the water	Yes.
song	song	is a type of	musical expression	Yes.
clunk	clunk	has parent	thump or thud	Yes.
rock music	rock music	has subtype	progressive rock	Yes.
timbales	timbales	associated with environment	concert stage	Yes.
hedge trimmer	hedge trimmer	has parent	light engine (high frequency)	Yes.
pigeon cooing	pigeon cooing	emitted by	bird	Yes.
dishwasher	dishwasher	has parent	kitchen sounds	Yes.
bass drum	bass drum	belongs to class	drum	Yes.
airplane	airplane	produces	air traffic noise	Yes.
electric shaver	electric shaver	belongs to class	domestic sounds	Yes.
whimpering	whimpering	belongs to class	human voice	Yes.
horse clip-clop	horse clip-clop	indicates	rider dismounting	Yes.
crow	crow	has children	crow caw	Yes.
distortion	distortion	warns about	audio equipment malfunction	Yes.
bell	bell	can be heard in	train station	Yes.
bouncing	bouncing	follows	bouncing ball rebound	Yes.
sea lion barking	sea lion barking	perceived as	warning	Yes.
phone ringing	phone ringing	occurs in	home	Yes.
zither	zither	event composed of	plucked strings	Yes.
mouse squeaking	mouse squeaking	performed by	mouse	Yes.
harp	harp	has timbre	resonant	Yes.
raindrop	raindrop	has sibling	water drop	Yes.
bell ringing	bell ringing	has children	change bell ringing	Yes.
chimpanzee	chimpanzee	warns about	environmental degradation	Yes.
bird chirping	bird chirping	has subtype	black capped chickadee calling	Yes.
human voice	human voice	has subtype	female screaming	Yes.
wind or woodwind instrument	wind or woodwind instrument	has subtype	alto saxophone	Yes.
lock	lock	described by	a mechanical device used to secure a door or container	Yes.
dog barking	dog barking	belongs to class	dog	Yes.
eating	eating	can be heard in	dining room	Yes.
shuffling cards	shuffling cards	generated by	card game	Yes.
mynah bird	mynah bird	belongs to class	wild animal	Yes.
tambourine	tambourine	originates from	cultural context	Yes.
lullaby	lullaby	event composed of	singing voice	Yes.
cat growling	cat growling	generated by	cat	Yes.
church bell ringing	church bell ringing	precedes	school bell ringing	Yes.
radio	radio	has subtype	music	Yes.
wild animal	wild animal	has subtype	whale vocalization	Yes.
battle cry	battle cry	produced during	war	Yes.
sound of things	sound of things	has subtype	printer	Yes.
talking	talking	has children	conversation	Yes.
explosion	explosion	has subtype	burst or pop	Yes.
tap dancing	tap dancing	performed by	dancer	Yes.
footsteps	footsteps	co-occurs with	footsteps on stairs	Yes.
pizzicato	pizzicato	belongs to class	bowed string instrument	Yes.
motorcycle engine accelerating	motorcycle engine accelerating	has sibling	motorcycle engine	Yes.
harp	harp	is sound of	music	Yes.
bird chirping	bird chirping	precedes	outdoor activity	Yes.
farm animal	farm animal	has children	goat	Yes.
door domestic	door domestic	has parent	domestic sounds	Yes.
pigeon cooing	pigeon cooing	occurs in	residential area	Yes.
opera	opera	is a type of	operatic performance	Yes.
shuffling cards	shuffling cards	can be heard in	casino floor	Yes.
door domestic	door domestic	emitted by	office	Yes.
fire truck siren ringing	fire truck siren ringing	belongs to class	vehicle siren ringing	Yes.
snowmobile	snowmobile	localized in	snowy cabin lodge	Yes.
musical concepts	musical concepts	has children	bassline	Yes.
race car	race car	localized in	race paddock	Yes.
bird	bird	has subtype	owl hoot	Yes.
truck	truck	belongs to class	vehicle	Yes.
owl	owl	belongs to class	animal	Yes.
cornet	cornet	is a type of	brass instrument	Yes.
sound of things	sound of things	has subtype	typewriter	Yes.
canary calling	canary calling	belongs to class	bird	Yes.
airplane	airplane	occurs in	airplane interior	Yes.
air conditioning	air conditioning	occurs in	truck interior	Yes.
stomp stamp	stomp stamp	indicates	footsteps	Yes.
ambulance siren ringing	ambulance siren ringing	occurs in	city center	Yes.
sweeping	sweeping	has parent	miscellaneous sources	Yes.
timpani	timpani	belongs to class	drum	Yes.
sonar	sonar	associated with environment	oceanographic research submersible	Yes.
onomatopoeia	onomatopoeia	has subtype	whir	Yes.
music role	music role	has subtype	music soundtrack	Yes.
laughing	laughing	has children	baby laughing	Yes.
horse clip-clop	horse clip-clop	occurs in	race track	Yes.
dog yipping	dog yipping	generated by	dog	Yes.
rain on surface	rain on surface	belongs to class	water natural	Yes.
flute	flute	precedes	musical instrument performance	Yes.
plucked string instrument	plucked string instrument	can be heard in	music studio	Yes.
electric fan	electric fan	belongs to class	domestic sounds	Yes.
lip smacking	lip smacking	occurs in	cafe or restaurant	Yes.
sonar	sonar	associated with environment	oceanographic research vehicle	Yes.
natural sounds	natural sounds	has children	steam	Yes.
bagpipes	bagpipes	described by	scotland	Yes.
train	train	generated by	railway	Yes.
vibraphone	vibraphone	responds to	musical instrument	Yes.
human sounds	human sounds	has subtype	battle cry	Yes.
frying	frying	described by	a technique for preparing food by heating it in oil or fat	Yes.
tapping	tapping	associated with event	playing piano	Yes.
congas	congas	belongs to class	music	Yes.
sliding door	sliding door	occurs in	airport	Yes.
monologue	monologue	has subtype	speech	Yes.
chipmunk chirping	chipmunk chirping	has subtype	chirping	Yes.
scary music	scary music	has sibling	music mood	Yes.
waterfall	waterfall	event composed of	water flowing	Yes.
percussion	percussion	has children	drum	Yes.
rodents rats mice	rodents rats mice	responds to	environmental stimuli	Yes.
human sounds	human sounds	has subtype	footsteps	Yes.
bell	bell	belongs to class	things	Yes.
wild animal	wild animal	occurs in	residential area	Yes.
saxophone	saxophone	precedes	musical instrument genre	Yes.
rodents rats mice	rodents rats mice	event composed of	mice	Yes.
trumpet	trumpet	localized in	music festival	Yes.
child singing	child singing	emitted by	songbird	Yes.
whoop	whoop	belongs to class	human voice	Yes.
airplane	airplane	co-occurs with	turbulence	Yes.
bagpipes	bagpipes	is variant of	instrument	Yes.
sound of things	sound of things	has subtype	medium engine (mid frequency)	Yes.
bird	bird	has children	pheasant crowing	Yes.
insect	insect	localized in	garden	Yes.
accordion	accordion	has timbre	reed	Yes.
music	music	has subtype	tubular bells	Yes.
marching	marching	described by	a rhythmic movement of people with musical instruments	Yes.
source-ambiguous sounds	source-ambiguous sounds	has subtype	deformable shell	Yes.
electric guitar	electric guitar	performed by	guitarist	Yes.
harp	harp	described by	a musical instrument with a characteristic sound	Yes.
clang	clang	is a type of	metal	Yes.
breathing	breathing	has subtype	gasp	Yes.
blowtorch	blowtorch	described by	a high-temperature torch used for cutting or welding	Yes.
dog	dog	produced during	barking	Yes.
bicycle	bicycle	is variant of	bell	Yes.
screech	screech	associated with event	car brakes	Yes.
dog	dog	part of scene	park	Yes.
cat growling	cat growling	emitted by	cat	Yes.
french horn	french horn	belongs to class	musical instrument	Yes.
electric fan	electric fan	has parent	domestic sounds	Yes.
harmonica	harmonica	is instance of	musical instrument genre	Yes.
background music	background music	belongs to class	music role	Yes.
dog whimpering	dog whimpering	warns about	danger of electric shock	Yes.
jackhammer	jackhammer	occurs in	construction zone intersection plane	Yes.
paper rustling	paper rustling	occurs in	office	Yes.
specific impact sounds	specific impact sounds	has sibling	object impact	Yes.
sound of things	sound of things	has subtype	ship	Yes.
television	television	occurs in	drive-in parking lot	Yes.
electric guitar	electric guitar	has loudness	high	Yes.
toothbrush	toothbrush	warns about	bad oral hygiene	Yes.
coin dropping	coin dropping	emitted by	coin machine	Yes.
aircraft	aircraft	has subtype	aircraft engine	Yes.
sonar	sonar	entails event	submarine	Yes.
french horn	french horn	temporal component of	event	Yes.
pigeon dove	pigeon dove	has children	pigeon cooing	Yes.
grinding	grinding	can be heard in	construction site	Yes.
digestive	digestive	has children	farting	Yes.
applause	applause	has sibling	clapping	Yes.
tornado	tornado	is instance of	windstorm	Yes.
woodpecker	woodpecker	belongs to class	animal	Yes.
mellotron	mellotron	scene contains	music recording studio	Yes.
hair dryer	hair dryer	generated by	electricity source	Yes.
music of bollywood	music of bollywood	produced during	dance performance	Yes.
snoring	snoring	localized in	sleeping room	Yes.
theremin	theremin	responds to	musical instrument family	Yes.
office sounds	office sounds	has children	printer	Yes.
bus brake	bus brake	belongs to class	road vehicle	Yes.
trance music	trance music	event composed of	heavy bass drops	Yes.
crowd	crowd	has subtype	gathering	Yes.
yak	yak	has sibling	cattle or bovinae	Yes.
motorcycle engine	motorcycle engine	belongs to class	engine	Yes.
pizzicato	pizzicato	overlaps with	strings	Yes.
domestic animal	domestic animal	occurs in	park	Yes.
ukulele	ukulele	localized in	concert venue	Yes.
dog	dog	has subtype	dog baying	Yes.
playing badminton	playing badminton	has sibling	human activities	Yes.
crowd	crowd	indicates	gathering	Yes.
clunk	clunk	is a type of	metal	Yes.
kitchen sounds	kitchen sounds	has subtype	water tap or faucet	Yes.
distortion	distortion	belongs to class	channel environment and background	Yes.
reverse beeper	reverse beeper	has sibling	truck	Yes.
radio	radio	localized in	room	Yes.
truck	truck	localized in	industrial area	Yes.
truck	truck	co-occurs with	construction noise	Yes.
door domestic	door domestic	occurs in	house	Yes.
rustling leaves	rustling leaves	performed by	bird	Yes.
chicken clucking	chicken clucking	precedes	hatching	Yes.
engine idling	engine idling	has subtype	car engine idling	Yes.
rock music	rock music	belongs to class	music	Yes.
dog	dog	is sound of	growling	Yes.
dog howling	dog howling	generated by	dog	Yes.
bagpipes	bagpipes	has subtype	instrument	Yes.
lawn mower	lawn mower	has duration	medium	Yes.
orchestra	orchestra	belongs to class	musical instrument	Yes.
ding-dong	ding-dong	part of scene	kitchen	Yes.
musical instrument	musical instrument	is variant of	violin	Yes.
boom	boom	occurs in	fireworks	Yes.
footsteps	footsteps	co-occurs with	door opening	Yes.
sound of things	sound of things	has subtype	vehicle horn	Yes.
vehicle	vehicle	has subtype	motorcycle	Yes.
sonar	sonar	precedes	underwater monitoring	Yes.
human sounds	human sounds	has subtype	humming	Yes.
violin fiddle	violin fiddle	emitted by	orchestra	Yes.
dog	dog	has children	dog barking	Yes.
hiccup	hiccup	described by	a sudden, brief, and involuntary spasm of the diaphragm causing a short burst of air to be expelled from the lungs	Yes.
crack	crack	belongs to class	onomatopoeia	Yes.
vehicle	vehicle	has subtype	electric train	Yes.
music mood	music mood	occurs in	music festival stage	Yes.
telephone	telephone	has children	telephone vibrating	Yes.
drum	drum	event composed of	bass drum	Yes.
horse clip-clop	horse clip-clop	belongs to class	farm animal	Yes.
playing darts	playing darts	localized in	dartboard	Yes.
rain on surface	rain on surface	has duration	long	Yes.
fireworks	fireworks	has sibling	explosion	Yes.
chatter	chatter	localized in	cafeteria	Yes.
playing guitar	playing guitar	is a type of	solid body instrument	Yes.
snoring	snoring	indicates	sleep	Yes.
car brake	car brake	caused by	friction	Yes.
telephone	telephone	generated by	microphone	Yes.
rodents rats mice	rodents rats mice	has subtype	mouse	Yes.
harpsichord	harpsichord	transcribed as	baroque music instrument	Yes.
power tool	power tool	belongs to class	things	Yes.
sizzle	sizzle	can be heard in	kitchen	Yes.
train	train	generated by	engine	Yes.
engine	engine	occurs in	pedestrian street	Yes.
eating crisps	eating crisps	occurs in	home	Yes.
whistle	whistle	invites action	blow whistle to signal danger	Yes.
latin america music	latin america music	belongs to class	music genre	Yes.
cricket	cricket	occurs in	field	Yes.
door	door	localized in	hotel	Yes.
road vehicle	road vehicle	has subtype	truck engine idling	Yes.
glockenspiel	glockenspiel	can be heard in	music studio	Yes.
water vehicle	water vehicle	is a type of	submarine	Yes.
traffic noise	traffic noise	occurs in	pedestrian street	Yes.
ding	ding	generated by	bell	Yes.
female speaking	female speaking	performed by	woman	Yes.
water	water	has subtype	waves	Yes.
bell	bell	has subtype	church bell ringing	Yes.
cheetah chirrup	cheetah chirrup	generated by	cheetah	Yes.
drone music	drone music	has parent	ambient music	Yes.
sniggering	sniggering	occurs in	home	Yes.
shouting	shouting	belongs to class	human sounds	Yes.
emergency vehicle	emergency vehicle	occurs in	cafe or restaurant	Yes.
urban music	urban music	part of scene	concert	Yes.
lullaby	lullaby	is a type of	comforting	Yes.
exhaust brake	exhaust brake	belongs to class	road vehicle	Yes.
playing lacrosse	playing lacrosse	responds to	goal scored	Yes.
house music	house music	part of scene	party	Yes.
bird	bird	has children	bird wings flap	Yes.
missile launch	missile launch	belongs to class	non-machinery impact	Yes.
clapping	clapping	has timbre	percussive	Yes.
thump or thud	thump or thud	has children	thunk	Yes.
glass jingling	glass jingling	generated by	glass	Yes.
music	music	is a type of	artistic expression	Yes.
drilling	drilling	part of scene	construction site	Yes.
wheel rolling	wheel rolling	generated by	vehicle	Yes.
clunk	clunk	has sibling	thump or thud	Yes.
office sounds	office sounds	scene contains	air conditioning humming	Yes.
goose honking	goose honking	localized in	airport	Yes.
sound of things	sound of things	has subtype	door wood creak	Yes.
sonar	sonar	can be heard in	ocean	Yes.
ding	ding	is a type of	event	Yes.
goose honking	goose honking	belongs to class	farm animal	Yes.
harpsichord	harpsichord	produced during	music making	Yes.
melody	melody	described by	a musical phrase or section	Yes.
erhu	erhu	follows	performance	Yes.
speech babbling	speech babbling	occurs in	theater	Yes.
applause	applause	has parent	clapping	Yes.
shot football	shot football	temporal component of	playing	Yes.
sound of things	sound of things	has subtype	small/medium rotating saw	Yes.
bird	bird	localized in	garden	Yes.
music role	music role	temporal component of	background music	Yes.
rattle (instrument)	rattle (instrument)	event composed of	shaking object	Yes.
whistle	whistle	is a type of	musical	Yes.
trumpet	trumpet	produced during	parade	Yes.
telephone	telephone	warns about	emergency situation	Yes.
door	door	entails event	opening	Yes.
ice cream truck	ice cream truck	triggers	outdoor events	Yes.
ding	ding	can be heard in	kitchen	Yes.
sawing	sawing	belongs to class	tools	Yes.
domestic sounds	domestic sounds	has subtype	electric toothbrush	Yes.
rail transport	rail transport	has subtype	railroad car or train wagon	Yes.
wolf whistling	wolf whistling	belongs to class	wildlife	Yes.
animal	animal	has subtype	animal growling	Yes.
sound effects unit	sound effects unit	belongs to class	miscellaneous sources	Yes.
music	music	occurs in	elevator background ambient music in background and foreground	Yes.
plastic crinkling	plastic crinkling	occurs in	shopping mall	Yes.
power tool	power tool	occurs in	office	Yes.
insect	insect	transcribed as	buzz	Yes.
djembe	djembe	occurs in	music recording studio	Yes.
truck brake	truck brake	has children	air brake	Yes.
vehicle door opens or closes	vehicle door opens or closes	has sibling	door	Yes.
pigeon dove	pigeon dove	occurs in	park	Yes.
electric guitar	electric guitar	precedes	recording music album	Yes.
bird vocalization call or song	bird vocalization call or song	perceived as	melodic	Yes.
trumpet	trumpet	warns about	danger signal alert warning	Yes.
door slam	door slam	can be heard in	house	Yes.
playing volleyball	playing volleyball	associated with event	playing	Yes.
clatter	clatter	follows	wood on wood	Yes.
harmonica	harmonica	has duration	medium	Yes.
glass jingling	glass jingling	occurs in	kitchen	Yes.
music	music	has subtype	rimshot	Yes.
electric grinder grinding	electric grinder grinding	generated by	power source	Yes.
hammering	hammering	event composed of	wood on wood	Yes.
chime	chime	generated by	clock	Yes.
fireworks	fireworks	occurs in	residential area	Yes.
trombone	trombone	generated by	orchestra	Yes.
doorbell	doorbell	overlaps with	knocking	Yes.
singing	singing	can be heard in	opera house	Yes.
snare drum	snare drum	has subtype	drum roll	Yes.
office sounds	office sounds	has children	keypress tone	Yes.
guiro	guiro	associated with environment	music festival	Yes.
french horn	french horn	generated by	military band	Yes.
bagpipes	bagpipes	can be heard in	cultural event	Yes.
bass guitar	bass guitar	belongs to class	electric instrument	Yes.
glass	glass	has children	glass break	Yes.
snap	snap	belongs to class	source-ambiguous	Yes.
bass guitar	bass guitar	has sibling	plucked string instrument	Yes.
thunderstorm	thunderstorm	warns about	thunder	Yes.
train	train	part of scene	train station	Yes.
car skidding	car skidding	has subtype	tire squealing	Yes.
ice cream truck	ice cream truck	produced during	outdoor events	Yes.
truck compressor	truck compressor	belongs to class	things	Yes.
knock	knock	emitted by	door	Yes.
wildfire	wildfire	belongs to class	natural sounds	Yes.
announcement speech	announcement speech	belongs to class	announcement	Yes.
penguins braying	penguins braying	belongs to class	bird	Yes.
cymbal	cymbal	originates from	drum kit	Yes.
bouncing on trampoline	bouncing on trampoline	has sibling	human activities	Yes.
announcement jingle	announcement jingle	occurs in	bus interior	Yes.
female speaking	female speaking	performed by	human	Yes.
clavinet	clavinet	has subtype	woodwind instrument	Yes.
yelling	yelling	occurs in	sports stadium	Yes.
water gurgling	water gurgling	produced during	rainstorm	Yes.
opera	opera	scene contains	opera house theater	Yes.
applause	applause	described by	a sound of admiration for a performance	Yes.
applause	applause	follows	effect in television show	Yes.
eating	eating	has subtype	biting	Yes.
animal	animal	has subtype	horse nicker	Yes.
mynah bird	mynah bird	has parent	bird chirping	Yes.
sound equipment	sound equipment	has subtype	unit	Yes.
belly laugh	belly laugh	has sibling	laughing	Yes.
hi-hat	hi-hat	part of scene	r&b concert	Yes.
natural sounds	natural sounds	has subtype	thunderstorm	Yes.
crowd	crowd	triggers	applause	Yes.
smoke alarm	smoke alarm	occurs in	bus station	Yes.
train wheels squealing	train wheels squealing	originates from	track	Yes.
bell	bell	warns about	alarm	Yes.
bell	bell	co-occurs with	telephone ring	Yes.
truck	truck	generated by	engine	Yes.
magpie calling	magpie calling	occurs in	forest	Yes.
whistling	whistling	part of scene	theater performance	Yes.
shouting	shouting	has children	yelling	Yes.
vibraphone	vibraphone	responds to	musical	Yes.
door knock	door knock	co-occurs with	door closing	Yes.
truck	truck	produced during	construction	Yes.
kettle whistle	kettle whistle	occurs in	home	Yes.
bang	bang	is a type of	explosive	Yes.
television	television	has sibling	reproduction	Yes.
surface contact	surface contact	has parent	source-ambiguous	Yes.
dubstep	dubstep	described by	a type of electronic music originating in the united kingdom in the late 1990s	Yes.
audio feedback	audio feedback	belongs to class	things	Yes.
steelpan	steelpan	occurs in	school concert	Yes.
whistling	whistling	can be heard in	schoolyard	Yes.
burping	burping	occurs in	kitchen	Yes.
acoustic environment	acoustic environment	has subtype	outdoor rural or natural	Yes.
flute	flute	has subtype	musical instrument type	Yes.
motorcycle wheel rolling	motorcycle wheel rolling	belongs to class	vehicle	Yes.
rapping	rapping	occurs in	music event	Yes.
skateboard	skateboard	transcribed as	grinding	Yes.
humming	humming	occurs in	room	Yes.
drum	drum	originates from	instrument	Yes.
booing	booing	is a type of	human sounds	Yes.
cello	cello	has subtype	chamber music instrument	Yes.
percussion	percussion	part of scene	music performance	Yes.
vehicle engine	vehicle engine	occurs in	public square	Yes.
frog	frog	overlaps with	chirping	Yes.
fowl animal	fowl animal	has subtype	duck quack	Yes.
firing muskets	firing muskets	caused by	gunpowder	Yes.
truck wheel rolling	truck wheel rolling	has parent	truck	Yes.
bellow	bellow	is instance of	animal	Yes.
sound of things	sound of things	has subtype	liquid dripping	Yes.
harp	harp	can be heard in	festival ground	Yes.
vehicle door opens or closes	vehicle door opens or closes	has parent	door	Yes.
squeal	squeal	performed by	animal	Yes.
hum	hum	associated with environment	room	Yes.
bang	bang	occurs in	gunshot	Yes.
timbales	timbales	part of scene	television performance	Yes.
vehicle compressor	vehicle compressor	occurs in	public square	Yes.
hose pump	hose pump	has duration	medium	Yes.
timpani	timpani	is sound of	percussion	Yes.
tape hiss	tape hiss	belongs to class	noise	Yes.
bellow	bellow	entails event	train whistle	Yes.
trombone	trombone	co-occurs with	music performance	Yes.
timbales	timbales	is sound of	music	Yes.
air conditioning	air conditioning	occurs in	bus station	Yes.
furniture dragging	furniture dragging	occurs in	home	Yes.
insect	insect	belongs to class	wild animal	Yes.
music	music	has subtype	psychedelic rock	Yes.
knife	knife	belongs to class	cutlery or dishes	Yes.
lighter	lighter	occurs in	street	Yes.
rattle	rattle	has subtype	car muffler noise	Yes.
rodents rats mice	rodents rats mice	has subtype	chipmunk	Yes.
tornado	tornado	warns about	potential damage	Yes.
keyboard typing	keyboard typing	belongs to class	typing	Yes.
sitar	sitar	described by	a stringed musical instrument with a long neck and a gourd resonator	Yes.
beat	beat	generated by	drum	Yes.
source-ambiguous sounds	source-ambiguous sounds	has subtype	other sourceless	Yes.
ship	ship	originates from	harbor	Yes.
power windows electric windows	power windows electric windows	has sibling	car	Yes.
music	music	has children	mobile music	Yes.
roll	roll	localized in	floor	Yes.
musical note	musical note	belongs to class	music	Yes.
glockenspiel	glockenspiel	transcribed as	tinkling chimes	Yes.
heavy engine (low frequency)	heavy engine (low frequency)	belongs to class	things	Yes.
soul music	soul music	has parent	music genre	Yes.
dog bowing	dog bowing	belongs to class	domestic animal	Yes.
mechanisms	mechanisms	has children	ratchet or pawl	Yes.
stomp stamp	stomp stamp	overlaps with	footsteps	Yes.
coffee machine	coffee machine	produced during	breakfast	Yes.
metro approaching	metro approaching	belongs to class	rail transport	Yes.
kitchen sounds	kitchen sounds	has children	drawer open or close	Yes.
hammering	hammering	co-occurs with	metal working	Yes.
farm animal	farm animal	has subtype	goat	Yes.
hum	hum	is a type of	musical	Yes.
swing music	swing music	scene contains	music venue	Yes.
